timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678457897735,214,HTTP Request 006,200,OK,JMeter-HW_1 1-5,text,true,,534,163,14,14,http://5.75.203.123:5005/object_info_3?name=vasenka&age=56&salary=350,214,0,121
1678457897802,205,HTTP Request 005,200,OK,JMeter-HW_1 1-9,text,true,,470,162,15,15,http://5.75.203.123:5005/object_info_2?name=vassso&age=55&salary=300,205,0,107
1678457897804,209,HTTP Request 004,200,OK,JMeter-HW_1 1-11,text,true,,245,159,15,15,http://5.75.203.123:5005/object_info_1?name=vasa&age=44&weight=85,209,0,106
1678457897808,276,HTTP Request 007,200,OK,JMeter-HW_1 1-4,text,true,,251,163,16,16,http://5.75.203.123:5005/object_info_4?name=vasenko&age=15&salary=310,276,0,111
1678457897810,277,HTTP Request 003,200,OK,JMeter-HW_1 1-13,text,true,,380,242,15,15,http://5.75.203.123:5005/user_info_3,276,0,110
1678457897853,246,HTTP Request 001,200,OK,JMeter-HW_1 1-17,text,true,,186,146,15,15,http://5.75.203.123:5005/get_method?name=vasa&age=44,246,0,96
1678457897827,272,HTTP Request 002,200,OK,JMeter-HW_1 1-15,text,true,,471,242,15,15,http://5.75.203.123:5005/user_info_2,272,0,122
1678457897913,277,HTTP Request 005,200,OK,JMeter-HW_1 1-10,text,true,,470,162,16,16,http://5.75.203.123:5005/object_info_2?name=vassso&age=55&salary=300,277,0,163
1678457897917,274,HTTP Request 007,200,OK,JMeter-HW_1 1-6,text,true,,251,163,16,16,http://5.75.203.123:5005/object_info_4?name=vasenko&age=15&salary=310,274,0,166
1678457897926,268,HTTP Request 007,200,OK,JMeter-HW_1 1-7,text,true,,251,163,15,15,http://5.75.203.123:5005/object_info_4?name=vasenko&age=15&salary=310,268,0,161
1678457897933,263,HTTP Request 004,200,OK,JMeter-HW_1 1-12,text,true,,245,159,14,14,http://5.75.203.123:5005/object_info_1?name=vasa&age=44&weight=85,263,0,157
1678457897949,255,HTTP Request 003,200,OK,JMeter-HW_1 1-14,text,true,,380,242,14,14,http://5.75.203.123:5005/user_info_3,255,0,146
1678457897950,260,HTTP Request 002,200,OK,JMeter-HW_1 1-16,text,true,,471,242,14,14,http://5.75.203.123:5005/user_info_2,260,0,145
1678457897950,341,HTTP Request 007,200,OK,JMeter-HW_1 1-8,text,true,,251,163,15,15,http://5.75.203.123:5005/object_info_4?name=vasenko&age=15&salary=310,341,0,151
1678457897950,342,HTTP Request 007,200,OK,JMeter-HW_1 1-5,text,true,,251,163,14,14,http://5.75.203.123:5005/object_info_4?name=vasenko&age=15&salary=310,342,0,151
1678457897954,341,HTTP Request 001,200,OK,JMeter-HW_1 1-18,text,true,,186,146,13,13,http://5.75.203.123:5005/get_method?name=vasa&age=44,341,0,216
1678457898007,291,HTTP Request 006,200,OK,JMeter-HW_1 1-9,text,true,,534,163,13,13,http://5.75.203.123:5005/object_info_3?name=vasenka&age=56&salary=350,291,0,163
1678457898013,292,HTTP Request 005,200,OK,JMeter-HW_1 1-11,text,true,,470,162,13,13,http://5.75.203.123:5005/object_info_2?name=vassso&age=55&salary=300,292,0,165
1678457898053,254,HTTP Request 001,200,OK,JMeter-HW_1 1-19,text,true,,186,146,13,13,http://5.75.203.123:5005/get_method?name=vasa&age=44,254,0,132
